t,abs_zeta,neglog,mollifier_score
38.352941,1.276287602981e+00,-2.439555544941e-01,5.997290633915e-02
38.414894,1.349667312308e+00,-2.998581274938e-01,5.742451957990e-03
38.476846,1.417759046732e+00,-3.490774896459e-01,-4.692655995546e-02
38.538798,1.480741851219e+00,-3.925432136909e-01,-9.730400173255e-02
38.600751,1.538760963936e+00,-4.309775243633e-01,-1.447575156338e-01
38.662703,1.591884965714e+00,-4.649188277222e-01,-1.887519745454e-01
38.724656,1.640077495981e+00,-4.947434949762e-01,-2.288441045866e-01
38.786608,1.683187553712e+00,-5.206893497076e-01,-2.646723834094e-01
38.848561,1.720959384592e+00,-5.428819176438e-01,-2.959415912523e-01
38.910513,1.753059851379e+00,-5.613627481850e-01,-3.223987638859e-01
38.972466,1.779118601175e+00,-5.761180743507e-01,-3.437850089402e-01
39.034418,1.798774709478e+00,-5.871057167083e-01,-3.596193084555e-01
39.096370,1.811722957661e+00,-5.942783033603e-01,-3.703633990241e-01
39.158323,1.817753402732e+00,-5.976013450438e-01,-3.762318975870e-01
39.220275,1.816779186269e+00,-5.970652560354e-01,-3.770658633968e-01
39.282228,1.808849316734e+00,-5.926909070534e-01,-3.728208652905e-01
39.344180,1.794145186265e+00,-5.845286897183e-01,-3.634905369968e-01
39.406133,1.772961642648e+00,-5.726513932698e-01,-3.491048387595e-01
39.468085,1.745675361146e+00,-5.571415077968e-01,-3.297909284576e-01
39.530038,1.712704888410e+00,-5.380739274488e-01,-3.054949581225e-01
39.591990,1.674467884841e+00,-5.154954347112e-01,-2.755026914539e-01
39.653942,1.631341584048e+00,-4.894027346036e-01,-2.403613566383e-01
